,file_path,en_text,jp_text
0,ijdxo9g8ln.jpg,A cat is sitting on a bed with a blanket.,猫が毛布を持ったベッドの上に座っています。
1,ykvzb2ygvo.jpg,A man in a suit and tie standing in a crowd of people.,スーツとネクタイを着た男は、群衆の中に立っています。
2,mfss60k8vw.jpg,A man with glasses standing next to a body of water.,水域の隣に立っている眼鏡をかけた男。
3,ukwjvf0hzt.jpg,A statue of a man in a baseball uniform.,野球の制服を着た男の像。
4,vayqvrb10v.jpg,A woman in a green dress and a man in a green shirt and tie,緑のドレスを着た女性と緑のシャツとネクタイを着た男性
5,zvk3jdby16.jpg,A man standing next to a statue of a man.,男の像の隣に立っている男。
6,rjc8lhdbvp.jpg,A man sitting in a bus with a cell phone.,携帯電話でバスに座っている男。
7,acwyeylmfj.jpg,A row of urinals mounted to a wall.,壁に取り付けられた小便器の列。
8,b31wvfu7vx.jpg,A baby girl sitting on a bed with a toy.,おもちゃと一緒にベッドに座っている女の赤ちゃん。
9,nco2meirbj.jpg,A woman sitting at a table using a cell phone.,携帯電話を使用してテーブルに座っている女性。
10,girakicc0t.jpg,Two men in a gym are playing a game.,ジムの2人の男性がゲームをしています。
11,5gwf50gehp.jpg,A woman in a wet suit riding a surfboard on a wave.,波の上でサーフボードに乗っているウェットスーツを着た女性。
12,cguhx1mz8k.jpg,A man sitting on a dirt field next to a train.,電車の隣の土地に座っている男。
13,c6jjdkuxne.jpg,A pair of scissors sitting on top of a white counter.,白いカウンターの上に座っているハサミのペア。
14,kp87lsjnsr.jpg,A dog wearing a shirt and tie with a tag on its ear.,シャツを着た犬と耳にタグを付けてネクタイします。
15,zcrunex7pb.jpg,A large amount of wheat in a field of tall grass,背の高い草の畑の大量の小麦
16,09uk8vwpql.jpg,A baseball player sliding into a base on a baseball field.,野球選手が野球場のベースに滑り込みます。
17,h10ccjmhyh.jpg,A woman talking on a cell phone while wearing a scarf.,スカーフを着ている間に携帯電話で話している女性。
18,qwvzsqysgo.jpg,A man and woman are sitting in a bed with a banana.,男性と女性がバナナと一緒にベッドに座っています。
19,nyy2yig37z.jpg,A street with a street sign and a car,通りの看板と車のある通り
20,4ctdbrvd5h.jpg,A white and blue horse and a white horse,白と青い馬と白い馬
21,6zyoup8kha.jpg,A statue of a man in a dress and a white dress.,ドレスを着た男と白いドレスの像。
22,93emlnkxnx.jpg,A man is jumping in the air with a snowboard.,男がスノーボードで空中にジャンプしています。
23,bognchrdi0.jpg,A man and two women dressed in dress clothes and ties.,男性と2人の女性がドレスの服とネクタイを着ています。
24,yktrbxkzhf.jpg,A woman in a red and white clown hat holding a cell phone.,携帯電話を持っている赤と白のピエロの帽子をかぶった女性。
25,iyd99qvxg0.jpg,A man in a suit and tie sitting at a table.,スーツとネクタイを着た男がテーブルに座っています。
26,hsfk0aoul1.jpg,A group of people standing around each other.,お互いに立っている人々のグループ。
27,ayj9ogpqrb.jpg,Three baseball players are standing on the field.,3人の野球選手がフィールドに立っています。
28,cdfshqrbkc.jpg,A group of people sitting around a table with papers.,論文を持ってテーブルの周りに座っている人々のグループ。
29,nsm7pg7eom.jpg,Two women are sitting together and smiling for the camera.,2人の女性が一緒に座ってカメラのために微笑んでいます。
30,ym1flq0why.jpg,A man sitting on a stage with a microphone.,マイクのあるステージに座っている男。
31,qx7ts7lzx2.jpg,A young boy in a baseball uniform holding a baseball bat.,野球の制服を着た少年が野球のバットを持っています。
32,ye475ldypz.jpg,A large pile of oranges on a sidewalk.,歩道にあるオレンジの大きな山。
33,2jiymgybil.jpg,A colorful artistically designed wall with colorful colorful designs.,カラフルなカラフルなデザインを備えたカラフルな芸術的にデザインされた壁。
34,s8mx6efz7z.jpg,A group of people swimming in a body of water.,水域で泳いでいる人々のグループ。
35,hlgkgfd1zd.jpg,A young girl riding a skateboard in a library.,図書館でスケートボードに乗っている若い女の子。
36,cvqmjhm0ls.jpg,A man and woman are standing together on the sidewalk.,男性と女性が歩道で一緒に立っています。
37,tjcrfupaj5.jpg,A woman in red shirt sitting on a pile of hay.,干し草の山に座っている赤いシャツを着た女性。
38,flupepmnrs.jpg,A blue bird with a blue head and a blue background,青い頭と青い背景を持つ青い鳥
39,tcklouqc73.jpg,A white bird with a red beak and a white beak.,赤いくちばしと白いくちばしの白い鳥。
40,verovny61z.jpg,A group of people standing in front of a building.,建物の前に立っている人々のグループ。
41,e8pfwosh5t.jpg,A vase with a flower on it and a vase of flowers in it.,花が付いた花瓶とその中に花の花瓶。
42,qha5leizyv.jpg,A man holding a baseball bat on a field.,野球のバットを畑に持っている男。
43,bo3mob1f34.jpg,A baseball player pitching a ball on top of a field.,野球選手がフィールドの上にボールを売り込みます。
44,7wdos2kfmm.jpg,A man in a clown mask holding a pair of scissors.,ハサミを持っているピエロマスクの男。
45,rer4reg9hv.jpg,A close up of a person with a toothbrush,歯ブラシを持つ人のクローズアップ
46,d7llv8pbuh.jpg,A group of soldiers standing around a table with food.,食べ物と一緒にテーブルの周りに立っている兵士のグループ。
47,tzscgexiiq.jpg,A man holding a banana and a banana in his hand.,バナナとバナナを手に持っている男。
48,3dbtgkywsc.jpg,A man in a suit and tie holding a cell phone to his ear.,スーツを着た男と携帯電話を耳に抱えています。
49,ceubgjxv5k.jpg,A train on a train track near a sunset,夕日近くの電車の列車
